Search_uid,Search_query,region,brand,group,Search_result,Search_uid_sales,Sale
02c45d752cd75523d360b50e38059406,5480XS,1,14,69,1,02c45d752cd75523d360b50e38059406,1.0
02c4bfc1d665d6719605d69c89aad46e,66240XNB,1,224,6,1,0,0.0
02c5c48d21ae64d84dbac78ec1049043,70SRPV0302DDUL1,1,458,17,0,0,0.0
02c80075250ad573c7fa65211ec7e8c4,961715,0,161,19,1,0,0.0
02c96851e12a3982a375a79952e0a6b6,48157-12080,1,301,25,0,0,0.0
02cc6dcd17780cc62e73cb56b2d7af54,CEKD-16L,0,369,48,0,0,0.0
02d5a8572db5eecf5eb6f70fab92c08d,334439,1,31,12,1,0,0.0
02e59011c25f91d43109a7c654bf98b8,17801-51020,1,301,40,0,0,0.0
02e645bba305b6e3251456f62c4e6a2a,NST5220ZR,1,31,12,0,0,0.0
02f19698dde2e843e97b73986ceca76d,C4064R,0,499,48,1,02f19698dde2e843e97b73986ceca76d,1.0
02f2bb77801bff8d0dfa14a951bf04fc,805638,0,22,27,1,02f2bb77801bff8d0dfa14a951bf04fc,1.0
02f305782181e373ddcfff9306423ed7,AWC-SL-01S,0,603,174,1,0,0.0
02f862fca865dc44a94f2194f23bba32,334263,1,31,12,1,0,0.0
02fb77201161e3ab838130b0d032cec0,G32152L,1,499,12,1,0,0.0
02ff2563d5c94f7a488dac384644bfa8,L12805,1,499,66,1,02ff2563d5c94f7a488dac384644bfa8,1.0
02ff2fa3ee29828b3ec6a52b167ec2c5,HC46T080805CS70,1,460,18,0,0,0.0
0300bb6c7072e61eca3c4f968534a4ed,C4N-34202,1,625,51,0,0,0.0
0303800819e3e9e906b8709ab8032066,713678790,0,148,19,0,0303800819e3e9e906b8709ab8032066,1.0
03052b33bc121976f450657306845c3c,775184,1,83,43,0,0,0.0
030a17f4547ef923bbfc3c69eb6ed528,C1138LR,1,499,11,1,0,0.0
030b11632fdc86d88dae89135bd65f4d,KS55902,1,407,36,0,030b11632fdc86d88dae89135bd65f4d,1.0
030c6551e5cad9064fdfdc05863292a9,032015,1,215,6,1,0,0.0
030cec133403961ce7d19944395384fb,02163,1,582,50,0,030cec133403961ce7d19944395384fb,1.0
